,model,split,f2_score,n_neighbors,metric,contamination
0,n_neighbors_5_metric_euclidean_contamination_0.01/,0,0.8333333333333334,5,euclidean,0.01
1,n_neighbors_5_metric_euclidean_contamination_0.01/,1,0.8333333333333334,5,euclidean,0.01
2,n_neighbors_5_metric_euclidean_contamination_0.01/,2,0.8333333333333334,5,euclidean,0.01
3,n_neighbors_5_metric_euclidean_contamination_0.01/,3,0.8333333333333334,5,euclidean,0.01
4,n_neighbors_5_metric_euclidean_contamination_0.01/,4,0.8333333333333334,5,euclidean,0.01
5,n_neighbors_5_metric_euclidean_contamination_0.05/,0,0.8333333333333334,5,euclidean,0.05
6,n_neighbors_5_metric_euclidean_contamination_0.05/,1,0.8333333333333334,5,euclidean,0.05
7,n_neighbors_5_metric_euclidean_contamination_0.05/,2,0.8333333333333334,5,euclidean,0.05
8,n_neighbors_5_metric_euclidean_contamination_0.05/,3,0.8333333333333334,5,euclidean,0.05
9,n_neighbors_5_metric_euclidean_contamination_0.05/,4,0.8333333333333334,5,euclidean,0.05
10,n_neighbors_5_metric_euclidean_contamination_0.1/,0,0.8333333333333334,5,euclidean,0.1
11,n_neighbors_5_metric_euclidean_contamination_0.1/,1,0.8333333333333334,5,euclidean,0.1
12,n_neighbors_5_metric_euclidean_contamination_0.1/,2,0.8333333333333334,5,euclidean,0.1
13,n_neighbors_5_metric_euclidean_contamination_0.1/,3,0.8333333333333334,5,euclidean,0.1
14,n_neighbors_5_metric_euclidean_contamination_0.1/,4,0.8333333333333334,5,euclidean,0.1
15,n_neighbors_5_metric_euclidean_contamination_0.2/,0,0.8333333333333334,5,euclidean,0.2
16,n_neighbors_5_metric_euclidean_contamination_0.2/,1,0.8333333333333334,5,euclidean,0.2
17,n_neighbors_5_metric_euclidean_contamination_0.2/,2,0.8333333333333334,5,euclidean,0.2
18,n_neighbors_5_metric_euclidean_contamination_0.2/,3,0.8333333333333334,5,euclidean,0.2
19,n_neighbors_5_metric_euclidean_contamination_0.2/,4,0.8333333333333334,5,euclidean,0.2
20,n_neighbors_5_metric_manhattan_contamination_0.01/,0,0.8333333333333334,5,manhattan,0.01
21,n_neighbors_5_metric_manhattan_contamination_0.01/,1,0.8333333333333334,5,manhattan,0.01
22,n_neighbors_5_metric_manhattan_contamination_0.01/,2,0.8333333333333334,5,manhattan,0.01
23,n_neighbors_5_metric_manhattan_contamination_0.01/,3,0.8333333333333334,5,manhattan,0.01
24,n_neighbors_5_metric_manhattan_contamination_0.01/,4,0.8333333333333334,5,manhattan,0.01
25,n_neighbors_5_metric_manhattan_contamination_0.05/,0,0.8333333333333334,5,manhattan,0.05
26,n_neighbors_5_metric_manhattan_contamination_0.05/,1,0.8333333333333334,5,manhattan,0.05
27,n_neighbors_5_metric_manhattan_contamination_0.05/,2,0.8333333333333334,5,manhattan,0.05
28,n_neighbors_5_metric_manhattan_contamination_0.05/,3,0.8333333333333334,5,manhattan,0.05
29,n_neighbors_5_metric_manhattan_contamination_0.05/,4,0.8333333333333334,5,manhattan,0.05
30,n_neighbors_5_metric_manhattan_contamination_0.1/,0,0.8333333333333334,5,manhattan,0.1
31,n_neighbors_5_metric_manhattan_contamination_0.1/,1,0.8333333333333334,5,manhattan,0.1
32,n_neighbors_5_metric_manhattan_contamination_0.1/,2,0.8333333333333334,5,manhattan,0.1
33,n_neighbors_5_metric_manhattan_contamination_0.1/,3,0.8333333333333334,5,manhattan,0.1
34,n_neighbors_5_metric_manhattan_contamination_0.1/,4,0.8333333333333334,5,manhattan,0.1
35,n_neighbors_5_metric_manhattan_contamination_0.2/,0,0.8333333333333334,5,manhattan,0.2
36,n_neighbors_5_metric_manhattan_contamination_0.2/,1,0.8333333333333334,5,manhattan,0.2
37,n_neighbors_5_metric_manhattan_contamination_0.2/,2,0.8333333333333334,5,manhattan,0.2
38,n_neighbors_5_metric_manhattan_contamination_0.2/,3,0.8333333333333334,5,manhattan,0.2
39,n_neighbors_5_metric_manhattan_contamination_0.2/,4,0.8333333333333334,5,manhattan,0.2
