,model,split,f2_score,lr,batch_size,num_epochs,encoding_dim,hidden_dims,activation
0,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[]_activation_relu/,0,0.8409658617818485,0.0001,32,10,128,[],relu
1,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[]_activation_relu/,1,0.8577235772357723,0.0001,32,10,128,[],relu
2,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[]_activation_relu/,2,0.8443708609271523,0.0001,32,10,128,[],relu
3,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[]_activation_relu/,3,0.8623481781376519,0.0001,32,10,128,[],relu
4,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[]_activation_relu/,4,0.8561093247588425,0.0001,32,10,128,[],relu
5,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[]_activation_leaky_relu/,0,0.8506224066390041,0.0001,32,10,128,[],leaky_relu
6,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[]_activation_leaky_relu/,1,0.8595641646489104,0.0001,32,10,128,[],leaky_relu
7,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[]_activation_leaky_relu/,2,0.8491343775762572,0.0001,32,10,128,[],leaky_relu
8,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[]_activation_leaky_relu/,3,0.8686786296900489,0.0001,32,10,128,[],leaky_relu
9,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[]_activation_leaky_relu/,4,0.8528698464025869,0.0001,32,10,128,[],leaky_relu
10,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024]_activation_relu/,0,0.8595641646489104,0.0001,32,10,128,[1024],relu
11,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024]_activation_relu/,1,0.8492063492063492,0.0001,32,10,128,[1024],relu
12,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024]_activation_relu/,2,0.8533653846153846,0.0001,32,10,128,[1024],relu
13,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024]_activation_relu/,3,0.8587479935794543,0.0001,32,10,128,[1024],relu
14,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024]_activation_relu/,4,0.8445146014206788,0.0001,32,10,128,[1024],relu
15,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024]_activation_leaky_relu/,0,0.8582089552238806,0.0001,32,10,128,[1024],leaky_relu
16,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024]_activation_leaky_relu/,1,0.8570268074735987,0.0001,32,10,128,[1024],leaky_relu
17,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024]_activation_leaky_relu/,2,0.8484349258649094,0.0001,32,10,128,[1024],leaky_relu
18,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024]_activation_leaky_relu/,3,0.8607907742998353,0.0001,32,10,128,[1024],leaky_relu
19,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024]_activation_leaky_relu/,4,0.8567980691874497,0.0001,32,10,128,[1024],leaky_relu
20,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[512]_activation_relu/,0,0.8602584814216478,0.0001,32,10,128,[512],relu
21,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[512]_activation_relu/,1,0.8505564387917329,0.0001,32,10,128,[512],relu
22,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[512]_activation_relu/,2,0.857487922705314,0.0001,32,10,128,[512],relu
23,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[512]_activation_relu/,3,0.860128617363344,0.0001,32,10,128,[512],relu
24,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[512]_activation_relu/,4,0.8498808578236696,0.0001,32,10,128,[512],relu
25,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[512]_activation_leaky_relu/,0,0.8547717842323651,0.0001,32,10,128,[512],leaky_relu
26,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[512]_activation_leaky_relu/,1,0.8595641646489104,0.0001,32,10,128,[512],leaky_relu
27,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[512]_activation_leaky_relu/,2,0.8505367464905037,0.0001,32,10,128,[512],leaky_relu
28,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[512]_activation_leaky_relu/,3,0.8607907742998353,0.0001,32,10,128,[512],leaky_relu
29,lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[512]_activation_leaky_relu/,4,0.8588709677419355,0.0001,32,10,128,[512],leaky_relu
30,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024, 512]_activation_relu/",0,0.8567980691874497,0.0001,32,10,128,"[1024, 512]",relu
31,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024, 512]_activation_relu/",1,0.8519108280254777,0.0001,32,10,128,"[1024, 512]",relu
32,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024, 512]_activation_relu/",2,0.8547351524879615,0.0001,32,10,128,"[1024, 512]",relu
33,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024, 512]_activation_relu/",3,0.8635996771589992,0.0001,32,10,128,"[1024, 512]",relu
34,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024, 512]_activation_relu/",4,0.8498808578236696,0.0001,32,10,128,"[1024, 512]",relu
35,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024, 512]_activation_leaky_relu/",0,0.8506224066390041,0.0001,32,10,128,"[1024, 512]",leaky_relu
36,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024, 512]_activation_leaky_relu/",1,0.8637469586374696,0.0001,32,10,128,"[1024, 512]",leaky_relu
37,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024, 512]_activation_leaky_relu/",2,0.8485099337748344,0.0001,32,10,128,"[1024, 512]",leaky_relu
38,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024, 512]_activation_leaky_relu/",3,0.8647540983606558,0.0001,32,10,128,"[1024, 512]",leaky_relu
39,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[1024, 512]_activation_leaky_relu/",4,0.8566853482786229,0.0001,32,10,128,"[1024, 512]",leaky_relu
40,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_relu/",0,0.8554216867469879,0.0001,32,10,128,"[2048, 1024, 512]",relu
41,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_relu/",1,0.8553157474020784,0.0001,32,10,128,"[2048, 1024, 512]",relu
42,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_relu/",2,0.8561093247588425,0.0001,32,10,128,"[2048, 1024, 512]",relu
43,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_relu/",3,0.8609539207760711,0.0001,32,10,128,"[2048, 1024, 512]",relu
44,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_relu/",4,0.8492063492063492,0.0001,32,10,128,"[2048, 1024, 512]",relu
45,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",0,0.8595641646489104,0.0001,32,10,128,"[2048, 1024, 512]",leaky_relu
46,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",1,0.8532695374800638,0.0001,32,10,128,"[2048, 1024, 512]",leaky_relu
47,"lr_0.0001_batch_size_32_num_epochs_10_encoding_dim_128_hidden_dims_[2048, 1024, 512]_activation_leaky_relu/",2,0.8567980691874497,0.0001,32,10,128,"[2048, 1024, 512]",leaky_relu
