,model,split,f2_score,lr,latent_dim,n_steps,lambda_weight,hidden_dims
0,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[256, 128, 64, 32]/",0,0.8333333333333334,0.0001,128,100,0.1,"[256, 128, 64, 32]"
1,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[256, 128, 64, 32]/",1,0.8333333333333334,0.0001,128,100,0.1,"[256, 128, 64, 32]"
2,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[256, 128, 64, 32]/",2,0.8346333853354134,0.0001,128,100,0.1,"[256, 128, 64, 32]"
3,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[256, 128, 64, 32]/",3,0.8333333333333334,0.0001,128,100,0.1,"[256, 128, 64, 32]"
4,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[256, 128, 64, 32]/",4,0.8333333333333334,0.0001,128,100,0.1,"[256, 128, 64, 32]"
5,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[128, 64, 32]/",0,0.8333333333333334,0.0001,128,100,0.1,"[128, 64, 32]"
6,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[128, 64, 32]/",1,0.8333333333333334,0.0001,128,100,0.1,"[128, 64, 32]"
7,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[128, 64, 32]/",2,0.8339828526890102,0.0001,128,100,0.1,"[128, 64, 32]"
8,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[128, 64, 32]/",3,0.8333333333333334,0.0001,128,100,0.1,"[128, 64, 32]"
9,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[128, 64, 32]/",4,0.8333333333333334,0.0001,128,100,0.1,"[128, 64, 32]"
10,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[256, 128, 64, 32]/",0,0.8333333333333334,0.0001,256,100,0.1,"[256, 128, 64, 32]"
11,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[256, 128, 64, 32]/",1,0.8352849336455894,0.0001,256,100,0.1,"[256, 128, 64, 32]"
12,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[256, 128, 64, 32]/",2,0.8333333333333334,0.0001,256,100,0.1,"[256, 128, 64, 32]"
13,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[256, 128, 64, 32]/",3,0.8333333333333334,0.0001,256,100,0.1,"[256, 128, 64, 32]"
14,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[256, 128, 64, 32]/",4,0.8333333333333334,0.0001,256,100,0.1,"[256, 128, 64, 32]"
15,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[128, 64, 32]/",0,0.8333333333333334,0.0001,256,100,0.1,"[128, 64, 32]"
16,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[128, 64, 32]/",1,0.8333333333333334,0.0001,256,100,0.1,"[128, 64, 32]"
17,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[128, 64, 32]/",2,0.8333333333333334,0.0001,256,100,0.1,"[128, 64, 32]"
18,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[128, 64, 32]/",3,0.8333333333333334,0.0001,256,100,0.1,"[128, 64, 32]"
19,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[128, 64, 32]/",4,0.8333333333333334,0.0001,256,100,0.1,"[128, 64, 32]"
