,model,split,f2_score
0,lr_0.0001_num_epochs_10_kernel_size_5/,0,0.8339828526890102
1,lr_0.0001_num_epochs_10_kernel_size_5/,1,0.8326817826426895
2,lr_0.0001_num_epochs_10_kernel_size_5/,2,0.8633696563285834
3,lr_0.0001_num_epochs_10_kernel_size_5/,3,0.8326817826426895
4,lr_0.0001_num_epochs_10_kernel_size_5/,4,0.8339828526890102
5,lr_0.0001_num_epochs_10_kernel_size_10/,0,0.8339828526890102
6,lr_0.0001_num_epochs_10_kernel_size_10/,1,0.8326817826426895
7,lr_0.0001_num_epochs_10_kernel_size_10/,2,0.8326817826426895
8,lr_0.0001_num_epochs_10_kernel_size_10/,3,0.8326817826426895
9,lr_0.0001_num_epochs_10_kernel_size_10/,4,0.8339828526890102
10,lr_0.0001_num_epochs_10_kernel_size_20/,0,0.8339828526890102
11,lr_0.0001_num_epochs_10_kernel_size_20/,1,0.8326817826426895
12,lr_0.0001_num_epochs_10_kernel_size_20/,2,0.8326817826426895
13,lr_0.0001_num_epochs_10_kernel_size_20/,3,0.8326817826426895
14,lr_0.0001_num_epochs_10_kernel_size_20/,4,0.8359375
15,lr_0.0001_num_epochs_10_kernel_size_50/,0,0.8339828526890102
16,lr_0.0001_num_epochs_10_kernel_size_50/,1,0.8326817826426895
17,lr_0.0001_num_epochs_10_kernel_size_50/,2,0.8326817826426895
18,lr_0.0001_num_epochs_10_kernel_size_50/,3,0.8326817826426895
19,lr_0.0001_num_epochs_10_kernel_size_50/,4,0.8339828526890102
20,lr_0.0001_num_epochs_20_kernel_size_5/,0,0.8460304731355253
21,lr_0.0001_num_epochs_20_kernel_size_5/,1,0.8326817826426895
22,lr_0.0001_num_epochs_20_kernel_size_5/,2,0.8326817826426895
23,lr_0.0001_num_epochs_20_kernel_size_5/,3,0.8326817826426895
24,lr_0.0001_num_epochs_20_kernel_size_5/,4,0.8339828526890102
25,lr_0.0001_num_epochs_20_kernel_size_10/,0,0.8339828526890102
26,lr_0.0001_num_epochs_20_kernel_size_10/,1,0.8326817826426895
27,lr_0.0001_num_epochs_20_kernel_size_10/,2,0.8333333333333334
28,lr_0.0001_num_epochs_20_kernel_size_10/,3,0.8326817826426895
29,lr_0.0001_num_epochs_20_kernel_size_10/,4,0.8339828526890102
