,model,split,f2_score,lr,num_epochs,kernel_size,out_channels,activation,fc1_size
0,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_32/,0,0.8339828526890102,0.0001,10,5,[32],relu,32
1,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_32/,1,0.8326817826426895,0.0001,10,5,[32],relu,32
2,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_32/,2,0.8326817826426895,0.0001,10,5,[32],relu,32
3,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_32/,3,0.8326817826426895,0.0001,10,5,[32],relu,32
4,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_32/,4,0.8339828526890102,0.0001,10,5,[32],relu,32
5,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_64/,0,0.8339828526890102,0.0001,10,5,[32],relu,64
6,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_64/,1,0.8326817826426895,0.0001,10,5,[32],relu,64
7,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_64/,2,0.8326817826426895,0.0001,10,5,[32],relu,64
8,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_64/,3,0.8326817826426895,0.0001,10,5,[32],relu,64
9,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_64/,4,0.8339828526890102,0.0001,10,5,[32],relu,64
10,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_128/,0,0.8339828526890102,0.0001,10,5,[32],relu,128
11,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_128/,1,0.8326817826426895,0.0001,10,5,[32],relu,128
12,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_128/,2,0.8326817826426895,0.0001,10,5,[32],relu,128
13,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_128/,3,0.8333333333333334,0.0001,10,5,[32],relu,128
14,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_128/,4,0.8339828526890102,0.0001,10,5,[32],relu,128
15,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_32/,0,0.8339828526890102,0.0001,10,5,[32],leaky_relu,32
16,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_32/,1,0.8572635135135135,0.0001,10,5,[32],leaky_relu,32
17,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_32/,2,0.8326817826426895,0.0001,10,5,[32],leaky_relu,32
18,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_32/,3,0.8326817826426895,0.0001,10,5,[32],leaky_relu,32
19,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_32/,4,0.8339828526890102,0.0001,10,5,[32],leaky_relu,32
20,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_64/,0,0.8339828526890102,0.0001,10,5,[32],leaky_relu,64
21,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_64/,1,0.8326817826426895,0.0001,10,5,[32],leaky_relu,64
22,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_64/,2,0.8326817826426895,0.0001,10,5,[32],leaky_relu,64
23,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_64/,3,0.8326817826426895,0.0001,10,5,[32],leaky_relu,64
24,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_64/,4,0.8703071672354948,0.0001,10,5,[32],leaky_relu,64
25,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_128/,0,0.8339828526890102,0.0001,10,5,[32],leaky_relu,128
26,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_128/,1,0.8326817826426895,0.0001,10,5,[32],leaky_relu,128
27,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_128/,2,0.8326817826426895,0.0001,10,5,[32],leaky_relu,128
28,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_128/,3,0.8326817826426895,0.0001,10,5,[32],leaky_relu,128
29,lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_128/,4,0.8753315649867374,0.0001,10,5,[32],leaky_relu,128
30,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_32/",0,0.8339828526890102,0.0001,10,5,"[32, 64]",relu,32
31,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_32/",1,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,32
32,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_32/",2,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,32
33,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_32/",3,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,32
34,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_32/",4,0.8339828526890102,0.0001,10,5,"[32, 64]",relu,32
35,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",0,0.8339828526890102,0.0001,10,5,"[32, 64]",relu,64
36,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",1,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,64
37,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",2,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,64
38,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",3,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,64
39,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",4,0.8339828526890102,0.0001,10,5,"[32, 64]",relu,64
40,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",0,0.8481421647819063,0.0001,10,5,"[32, 64]",relu,128
41,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",1,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,128
42,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",2,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,128
43,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",3,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,128
44,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",4,0.8339828526890102,0.0001,10,5,"[32, 64]",relu,128
45,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",0,0.8339828526890102,0.0001,10,5,"[32, 64]",leaky_relu,32
