,model,split,f2_score
0,encoding_dim_8/,0,0.13498312710911137
1,encoding_dim_8/,1,0.2
2,encoding_dim_8/,2,0.14656144306651633
3,encoding_dim_8/,3,0.20532741398446172
4,encoding_dim_8/,4,0.16201117318435754
5,encoding_dim_16/,0,0.2039691289966924
6,encoding_dim_16/,1,0.15677491601343785
7,encoding_dim_16/,2,0.20464601769911506
8,encoding_dim_16/,3,0.22197558268590456
9,encoding_dim_16/,4,0.15100671140939598
10,encoding_dim_32/,0,0.15677491601343785
11,encoding_dim_32/,1,0.18456375838926176
12,encoding_dim_32/,2,0.12935883014623173
13,encoding_dim_32/,3,0.12877939529675253
14,encoding_dim_32/,4,0.1621923937360179
15,encoding_dim_64/,0,0.16201117318435754
16,encoding_dim_64/,1,0.1621923937360179
17,encoding_dim_64/,2,0.10770975056689343
18,encoding_dim_64/,3,0.1348314606741573
19,encoding_dim_64/,4,0.11864406779661017
20,encoding_dim_128/,0,0.14076576576576577
21,encoding_dim_128/,1,0.09111617312072894
22,encoding_dim_128/,2,0.06872852233676977
23,encoding_dim_128/,3,0.13950892857142858
24,encoding_dim_128/,4,0.096045197740113
