,model,split,f2_score,n_estimators,max_samples,contamination,encoding_dim
0,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_64/,0,0.8333333333333334,50,0.5,0.01,64
1,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_64/,1,0.8333333333333334,50,0.5,0.01,64
2,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_64/,2,0.8333333333333334,50,0.5,0.01,64
3,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_64/,3,0.8333333333333334,50,0.5,0.01,64
4,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_64/,4,0.8473221422861711,50,0.5,0.01,64
5,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_128/,0,0.8340573414422241,50,0.5,0.01,128
6,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_128/,1,0.852589641434263,50,0.5,0.01,128
7,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_128/,2,0.8261617900172117,50,0.5,0.01,128
8,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_128/,3,0.8637469586374696,50,0.5,0.01,128
9,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_128/,4,0.8529650690495532,50,0.5,0.01,128
10,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_256/,0,0.8333333333333334,50,0.5,0.01,256
11,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_256/,1,0.8333333333333334,50,0.5,0.01,256
12,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_256/,2,0.8529650690495532,50,0.5,0.01,256
13,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_256/,3,0.8333333333333334,50,0.5,0.01,256
14,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_256/,4,0.8333333333333334,50,0.5,0.01,256
15,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_64/,0,0.8333333333333334,50,0.5,0.05,64
16,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_64/,1,0.8333333333333334,50,0.5,0.05,64
17,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_64/,2,0.8333333333333334,50,0.5,0.05,64
18,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_64/,3,0.8722358722358723,50,0.5,0.05,64
19,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_64/,4,0.8505564387917329,50,0.5,0.05,64
20,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_128/,0,0.8637469586374696,50,0.5,0.05,128
21,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_128/,1,0.8333333333333334,50,0.5,0.05,128
22,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_128/,2,0.8485329103885805,50,0.5,0.05,128
23,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_128/,3,0.8354866494401378,50,0.5,0.05,128
24,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_128/,4,0.8447857720291027,50,0.5,0.05,128
25,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_256/,0,0.8518518518518519,50,0.5,0.05,256
26,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_256/,1,0.8672638436482085,50,0.5,0.05,256
27,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_256/,2,0.8333333333333334,50,0.5,0.05,256
28,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_256/,3,0.8645054031587698,50,0.5,0.05,256
29,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_256/,4,0.8451290591174022,50,0.5,0.05,256
30,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_64/,0,0.8451816745655608,50,0.5,0.1,64
31,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_64/,1,0.850253807106599,50,0.5,0.1,64
32,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_64/,2,0.8608205953338697,50,0.5,0.1,64
33,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_64/,3,0.8432708688245315,50,0.5,0.1,64
34,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_64/,4,0.8225108225108225,50,0.5,0.1,64
35,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_128/,0,0.8517608517608518,50,0.5,0.1,128
36,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_128/,1,0.8333333333333334,50,0.5,0.1,128
37,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_128/,2,0.8333333333333334,50,0.5,0.1,128
38,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_128/,3,0.8485329103885805,50,0.5,0.1,128
39,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_128/,4,0.8481421647819063,50,0.5,0.1,128
40,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_256/,0,0.8333333333333334,50,0.5,0.1,256
41,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_256/,1,0.8333333333333334,50,0.5,0.1,256
42,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_256/,2,0.8333333333333334,50,0.5,0.1,256
43,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_256/,3,0.8542713567839196,50,0.5,0.1,256
44,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_256/,4,0.8581788879935536,50,0.5,0.1,256
45,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_64/,0,0.8590492076730609,50,0.5,0.2,64
46,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_64/,1,0.8577235772357723,50,0.5,0.2,64
47,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_64/,2,0.8304794520547946,50,0.5,0.2,64
48,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_64/,3,0.852589641434263,50,0.5,0.2,64
49,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_64/,4,0.8297690333618477,50,0.5,0.2,64
50,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_128/,0,0.8419689119170984,50,0.5,0.2,128
51,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_128/,1,0.8545603944124898,50,0.5,0.2,128
52,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_128/,2,0.8526821457165733,50,0.5,0.2,128
53,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_128/,3,0.8473154362416108,50,0.5,0.2,128
54,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_128/,4,0.8398744113029827,50,0.5,0.2,128
55,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_256/,0,0.8548387096774194,50,0.5,0.2,256
56,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_256/,1,0.8566853482786229,50,0.5,0.2,256
57,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_256/,2,0.8522727272727273,50,0.5,0.2,256
58,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_256/,3,0.8333333333333334,50,0.5,0.2,256
59,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_256/,4,0.8276740237691002,50,0.5,0.2,256
60,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_64/,0,0.8741830065359477,50,0.7,0.01,64
61,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_64/,1,0.8333333333333334,50,0.7,0.01,64
62,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_64/,2,0.8333333333333334,50,0.7,0.01,64
63,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_64/,3,0.8333333333333334,50,0.7,0.01,64
64,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_64/,4,0.8333333333333334,50,0.7,0.01,64
65,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_128/,0,0.8333333333333334,50,0.7,0.01,128
66,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_128/,1,0.8333333333333334,50,0.7,0.01,128
67,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_128/,2,0.8333333333333334,50,0.7,0.01,128
68,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_128/,3,0.8688524590163934,50,0.7,0.01,128
69,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_128/,4,0.8333333333333334,50,0.7,0.01,128
70,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_256/,0,0.8333333333333334,50,0.7,0.01,256
71,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_256/,1,0.8385579937304075,50,0.7,0.01,256
72,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_256/,2,0.8333333333333334,50,0.7,0.01,256
73,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_256/,3,0.8660130718954249,50,0.7,0.01,256
74,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_256/,4,0.8333333333333334,50,0.7,0.01,256
75,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_64/,0,0.8333333333333334,50,0.7,0.05,64
76,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_64/,1,0.8407798537774167,50,0.7,0.05,64
77,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_64/,2,0.8333333333333334,50,0.7,0.05,64
78,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_64/,3,0.8333333333333334,50,0.7,0.05,64
79,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_64/,4,0.8501208702659145,50,0.7,0.05,64
80,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_128/,0,0.8333333333333334,50,0.7,0.05,128
81,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_128/,1,0.8566853482786229,50,0.7,0.05,128
82,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_128/,2,0.8333333333333334,50,0.7,0.05,128
83,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_128/,3,0.8230088495575221,50,0.7,0.05,128
84,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_128/,4,0.8635996771589992,50,0.7,0.05,128
85,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_256/,0,0.8500400962309543,50,0.7,0.05,256
86,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_256/,1,0.8333333333333334,50,0.7,0.05,256
87,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_256/,2,0.8494363929146538,50,0.7,0.05,256
88,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_256/,3,0.8426483233018057,50,0.7,0.05,256
89,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_256/,4,0.8477366255144033,50,0.7,0.05,256
90,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,0,0.8333333333333334,50,0.7,0.1,64
91,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,1,0.8333333333333334,50,0.7,0.1,64
92,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,2,0.8333333333333334,50,0.7,0.1,64
93,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,3,0.8670520231213873,50,0.7,0.1,64
94,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,4,0.8411949685534591,50,0.7,0.1,64
95,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,0,0.8333333333333334,50,0.7,0.1,128
96,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,1,0.864045864045864,50,0.7,0.1,128
97,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,2,0.8333333333333334,50,0.7,0.1,128
98,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,3,0.8333333333333334,50,0.7,0.1,128
99,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,4,0.8333333333333334,50,0.7,0.1,128
100,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,0,0.8578637510513036,50,0.7,0.1,256
101,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,1,0.8534554537885096,50,0.7,0.1,256
102,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,2,0.851581508515815,50,0.7,0.1,256
103,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,3,0.8603491271820449,50,0.7,0.1,256
104,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,4,0.8360927152317881,50,0.7,0.1,256
105,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_64/,0,0.8511513157894737,50,0.7,0.2,64
