,model,split,f2_score
0,encoding_dim_8/,0,0.6618313689936537
1,encoding_dim_8/,1,0.023255813953488372
2,encoding_dim_8/,2,0.6824385805277525
3,encoding_dim_8/,3,0.7729257641921398
4,encoding_dim_8/,4,0.4605263157894737
5,encoding_dim_16/,0,0.7361702127659574
6,encoding_dim_16/,1,0.6843455945252352
7,encoding_dim_16/,2,0.0
8,encoding_dim_16/,3,0.7558139534883721
9,encoding_dim_16/,4,0.0
10,encoding_dim_32/,0,0.813301282051282
11,encoding_dim_32/,1,0.8396305625524769
12,encoding_dim_32/,2,0.7971619365609349
13,encoding_dim_32/,3,0.8094098883572568
14,encoding_dim_32/,4,0.4898989898989899
15,encoding_dim_64/,0,0.8226768968456948
16,encoding_dim_64/,1,0.7933884297520661
17,encoding_dim_64/,2,0.8080393765381461
18,encoding_dim_64/,3,0.7646520146520146
19,encoding_dim_64/,4,0.5876591576885406
20,encoding_dim_128/,0,0.8071748878923767
21,encoding_dim_128/,1,0.7990115321252059
22,encoding_dim_128/,2,0.8006672226855713
23,encoding_dim_128/,3,0.75
24,encoding_dim_128/,4,0.4817444219066937
