,model,split,f2_score,n_neighbors,metric,contamination,encoding_dim
0,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_64/,0,0.8333333333333334,5,euclidean,0.01,64
1,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_64/,1,0.8333333333333334,5,euclidean,0.01,64
2,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_64/,2,0.8333333333333334,5,euclidean,0.01,64
3,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_64/,3,0.8333333333333334,5,euclidean,0.01,64
4,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_64/,4,0.8333333333333334,5,euclidean,0.01,64
5,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_128/,0,0.8333333333333334,5,euclidean,0.01,128
6,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_128/,1,0.8333333333333334,5,euclidean,0.01,128
7,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_128/,2,0.8333333333333334,5,euclidean,0.01,128
8,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_128/,3,0.8333333333333334,5,euclidean,0.01,128
9,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_128/,4,0.8333333333333334,5,euclidean,0.01,128
10,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_256/,0,0.8333333333333334,5,euclidean,0.01,256
11,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_256/,1,0.8333333333333334,5,euclidean,0.01,256
12,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_256/,2,0.8333333333333334,5,euclidean,0.01,256
13,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_256/,3,0.8333333333333334,5,euclidean,0.01,256
14,n_neighbors_5_metric_euclidean_contamination_0.01_encoding_dim_256/,4,0.8333333333333334,5,euclidean,0.01,256
15,n_neighbors_5_metric_euclidean_contamination_0.05_encoding_dim_64/,0,0.8333333333333334,5,euclidean,0.05,64
16,n_neighbors_5_metric_euclidean_contamination_0.05_encoding_dim_64/,1,0.8333333333333334,5,euclidean,0.05,64
17,n_neighbors_5_metric_euclidean_contamination_0.05_encoding_dim_64/,2,0.8333333333333334,5,euclidean,0.05,64
18,n_neighbors_5_metric_euclidean_contamination_0.05_encoding_dim_64/,3,0.8333333333333334,5,euclidean,0.05,64
19,n_neighbors_5_metric_euclidean_contamination_0.05_encoding_dim_64/,4,0.8333333333333334,5,euclidean,0.05,64
20,n_neighbors_5_metric_euclidean_contamination_0.05_encoding_dim_128/,0,0.8333333333333334,5,euclidean,0.05,128
21,n_neighbors_5_metric_euclidean_contamination_0.05_encoding_dim_128/,1,0.8333333333333334,5,euclidean,0.05,128
22,n_neighbors_5_metric_euclidean_contamination_0.05_encoding_dim_128/,2,0.8333333333333334,5,euclidean,0.05,128
23,n_neighbors_5_metric_euclidean_contamination_0.05_encoding_dim_128/,3,0.8333333333333334,5,euclidean,0.05,128
24,n_neighbors_5_metric_euclidean_contamination_0.05_encoding_dim_128/,4,0.8333333333333334,5,euclidean,0.05,128
25,n_neighbors_5_metric_euclidean_contamination_0.05_encoding_dim_256/,0,0.8333333333333334,5,euclidean,0.05,256
26,n_neighbors_5_metric_euclidean_contamination_0.05_encoding_dim_256/,1,0.8333333333333334,5,euclidean,0.05,256
27,n_neighbors_5_metric_euclidean_contamination_0.05_encoding_dim_256/,2,0.8333333333333334,5,euclidean,0.05,256
