,model,split,f2_score,n_estimators,max_samples,contamination,encoding_dim
0,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_64/,0,0.8333333333333334,50,0.5,0.01,64
1,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_64/,1,0.8333333333333334,50,0.5,0.01,64
2,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_64/,2,0.874384236453202,50,0.5,0.01,64
3,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_64/,3,0.8333333333333334,50,0.5,0.01,64
4,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_64/,4,0.8333333333333334,50,0.5,0.01,64
5,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_128/,0,0.8333333333333334,50,0.5,0.01,128
6,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_128/,1,0.8333333333333334,50,0.5,0.01,128
7,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_128/,2,0.8333333333333334,50,0.5,0.01,128
8,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_128/,3,0.8333333333333334,50,0.5,0.01,128
9,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_128/,4,0.8657829328914665,50,0.5,0.01,128
10,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_256/,0,0.8333333333333334,50,0.5,0.01,256
11,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_256/,1,0.8495145631067961,50,0.5,0.01,256
12,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_256/,2,0.8479299363057324,50,0.5,0.01,256
13,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_256/,3,0.8333333333333334,50,0.5,0.01,256
14,n_estimators_50_max_samples_0.5_contamination_0.01_encoding_dim_256/,4,0.8561093247588425,50,0.5,0.01,256
15,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_64/,0,0.8333333333333334,50,0.5,0.05,64
16,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_64/,1,0.8526490066225165,50,0.5,0.05,64
17,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_64/,2,0.838272650296359,50,0.5,0.05,64
18,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_64/,3,0.8635996771589992,50,0.5,0.05,64
19,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_64/,4,0.8615136876006442,50,0.5,0.05,64
20,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_128/,0,0.8637469586374696,50,0.5,0.05,128
21,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_128/,1,0.8333333333333334,50,0.5,0.05,128
22,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_128/,2,0.854632587859425,50,0.5,0.05,128
23,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_128/,3,0.8215547703180212,50,0.5,0.05,128
24,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_128/,4,0.8643507030603805,50,0.5,0.05,128
25,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_256/,0,0.8398744113029827,50,0.5,0.05,256
26,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_256/,1,0.8527755430410298,50,0.5,0.05,256
27,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_256/,2,0.8480707395498392,50,0.5,0.05,256
28,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_256/,3,0.8333333333333334,50,0.5,0.05,256
29,n_estimators_50_max_samples_0.5_contamination_0.05_encoding_dim_256/,4,0.8495934959349594,50,0.5,0.05,256
30,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_64/,0,0.856,50,0.5,0.1,64
31,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_64/,1,0.8333333333333334,50,0.5,0.1,64
32,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_64/,2,0.870626525630594,50,0.5,0.1,64
33,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_64/,3,0.8333333333333334,50,0.5,0.1,64
34,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_64/,4,0.8410041841004184,50,0.5,0.1,64
35,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_128/,0,0.8598207008964955,50,0.5,0.1,128
36,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_128/,1,0.8465189873417721,50,0.5,0.1,128
37,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_128/,2,0.8333333333333334,50,0.5,0.1,128
38,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_128/,3,0.8468776732249786,50,0.5,0.1,128
39,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_128/,4,0.8657829328914665,50,0.5,0.1,128
40,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_256/,0,0.8540497193263833,50,0.5,0.1,256
41,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_256/,1,0.8524590163934426,50,0.5,0.1,256
42,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_256/,2,0.8513189448441247,50,0.5,0.1,256
43,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_256/,3,0.8556366585563666,50,0.5,0.1,256
44,n_estimators_50_max_samples_0.5_contamination_0.1_encoding_dim_256/,4,0.8502847843775427,50,0.5,0.1,256
45,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_64/,0,0.8629032258064516,50,0.5,0.2,64
46,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_64/,1,0.8580593424218124,50,0.5,0.2,64
47,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_64/,2,0.838272650296359,50,0.5,0.2,64
48,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_64/,3,0.8777686628383922,50,0.5,0.2,64
49,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_64/,4,0.8499170812603648,50,0.5,0.2,64
50,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_128/,0,0.8659450457951707,50,0.5,0.2,128
51,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_128/,1,0.8513189448441247,50,0.5,0.2,128
52,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_128/,2,0.8525535420098846,50,0.5,0.2,128
53,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_128/,3,0.865546218487395,50,0.5,0.2,128
54,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_128/,4,0.8551554828150573,50,0.5,0.2,128
55,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_256/,0,0.8553719008264463,50,0.5,0.2,256
56,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_256/,1,0.8539603960396039,50,0.5,0.2,256
57,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_256/,2,0.8458498023715415,50,0.5,0.2,256
58,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_256/,3,0.8506389776357828,50,0.5,0.2,256
59,n_estimators_50_max_samples_0.5_contamination_0.2_encoding_dim_256/,4,0.8176369863013698,50,0.5,0.2,256
60,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_64/,0,0.8333333333333334,50,0.7,0.01,64
61,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_64/,1,0.8740679370339686,50,0.7,0.01,64
62,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_64/,2,0.8333333333333334,50,0.7,0.01,64
63,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_64/,3,0.8821104699093157,50,0.7,0.01,64
64,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_64/,4,0.8573717948717948,50,0.7,0.01,64
65,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_128/,0,0.8595641646489104,50,0.7,0.01,128
66,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_128/,1,0.8333333333333334,50,0.7,0.01,128
67,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_128/,2,0.8333333333333334,50,0.7,0.01,128
68,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_128/,3,0.8333333333333334,50,0.7,0.01,128
69,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_128/,4,0.8686616791354946,50,0.7,0.01,128
70,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_256/,0,0.8519108280254777,50,0.7,0.01,256
71,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_256/,1,0.8616504854368932,50,0.7,0.01,256
72,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_256/,2,0.8333333333333334,50,0.7,0.01,256
73,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_256/,3,0.8333333333333334,50,0.7,0.01,256
74,n_estimators_50_max_samples_0.7_contamination_0.01_encoding_dim_256/,4,0.837245696400626,50,0.7,0.01,256
75,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_64/,0,0.8753096614368291,50,0.7,0.05,64
76,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_64/,1,0.8485329103885805,50,0.7,0.05,64
77,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_64/,2,0.8333333333333334,50,0.7,0.05,64
78,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_64/,3,0.8561643835616438,50,0.7,0.05,64
79,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_64/,4,0.8692120227457352,50,0.7,0.05,64
80,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_128/,0,0.8067375886524822,50,0.7,0.05,128
81,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_128/,1,0.8333333333333334,50,0.7,0.05,128
82,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_128/,2,0.8445146014206788,50,0.7,0.05,128
83,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_128/,3,0.8850671140939598,50,0.7,0.05,128
84,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_128/,4,0.8478605388272583,50,0.7,0.05,128
85,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_256/,0,0.8333333333333334,50,0.7,0.05,256
86,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_256/,1,0.8609539207760711,50,0.7,0.05,256
87,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_256/,2,0.8501208702659145,50,0.7,0.05,256
88,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_256/,3,0.8375634517766497,50,0.7,0.05,256
89,n_estimators_50_max_samples_0.7_contamination_0.05_encoding_dim_256/,4,0.8432304038004751,50,0.7,0.05,256
90,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,0,0.8587479935794543,50,0.7,0.1,64
91,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,1,0.8333333333333334,50,0.7,0.1,64
92,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,2,0.8333333333333334,50,0.7,0.1,64
93,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,3,0.8333333333333334,50,0.7,0.1,64
94,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_64/,4,0.8672199170124482,50,0.7,0.1,64
95,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,0,0.8296943231441049,50,0.7,0.1,128
96,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,1,0.8534621578099839,50,0.7,0.1,128
97,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,2,0.8595641646489104,50,0.7,0.1,128
98,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,3,0.8580593424218124,50,0.7,0.1,128
99,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_128/,4,0.8686616791354946,50,0.7,0.1,128
100,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,0,0.8533653846153846,50,0.7,0.1,256
101,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,1,0.8588709677419355,50,0.7,0.1,256
102,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,2,0.8523654159869495,50,0.7,0.1,256
103,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,3,0.8218588640275387,50,0.7,0.1,256
104,n_estimators_50_max_samples_0.7_contamination_0.1_encoding_dim_256/,4,0.8459094519459889,50,0.7,0.1,256
105,n_estimators_50_max_samples_0.7_contamination_0.2_encoding_dim_64/,0,0.8717105263157895,50,0.7,0.2,64
