,model,split,f2_score,kernel,nu,gamma,encoding_dim
0,kernel_linear_nu_0.01_gamma_scale_encoding_dim_64/,0,0.8352849336455894,linear,0.01,scale,64
1,kernel_linear_nu_0.01_gamma_scale_encoding_dim_64/,1,0.8333333333333334,linear,0.01,scale,64
2,kernel_linear_nu_0.01_gamma_scale_encoding_dim_64/,2,0.8333333333333334,linear,0.01,scale,64
3,kernel_linear_nu_0.01_gamma_scale_encoding_dim_64/,3,0.8339828526890102,linear,0.01,scale,64
4,kernel_linear_nu_0.01_gamma_scale_encoding_dim_64/,4,0.8333333333333334,linear,0.01,scale,64
5,kernel_linear_nu_0.01_gamma_scale_encoding_dim_128/,0,0.8346333853354134,linear,0.01,scale,128
6,kernel_linear_nu_0.01_gamma_scale_encoding_dim_128/,1,0.8333333333333334,linear,0.01,scale,128
7,kernel_linear_nu_0.01_gamma_scale_encoding_dim_128/,2,0.8339828526890102,linear,0.01,scale,128
8,kernel_linear_nu_0.01_gamma_scale_encoding_dim_128/,3,0.8352849336455894,linear,0.01,scale,128
9,kernel_linear_nu_0.01_gamma_scale_encoding_dim_128/,4,0.8326817826426895,linear,0.01,scale,128
10,kernel_linear_nu_0.01_gamma_scale_encoding_dim_256/,0,0.8339828526890102,linear,0.01,scale,256
11,kernel_linear_nu_0.01_gamma_scale_encoding_dim_256/,1,0.8333333333333334,linear,0.01,scale,256
12,kernel_linear_nu_0.01_gamma_scale_encoding_dim_256/,2,0.8333333333333334,linear,0.01,scale,256
13,kernel_linear_nu_0.01_gamma_scale_encoding_dim_256/,3,0.8339828526890102,linear,0.01,scale,256
14,kernel_linear_nu_0.01_gamma_scale_encoding_dim_256/,4,0.8346333853354134,linear,0.01,scale,256
15,kernel_linear_nu_0.01_gamma_auto_encoding_dim_64/,0,0.8352849336455894,linear,0.01,auto,64
16,kernel_linear_nu_0.01_gamma_auto_encoding_dim_64/,1,0.8333333333333334,linear,0.01,auto,64
17,kernel_linear_nu_0.01_gamma_auto_encoding_dim_64/,2,0.8333333333333334,linear,0.01,auto,64
18,kernel_linear_nu_0.01_gamma_auto_encoding_dim_64/,3,0.8339828526890102,linear,0.01,auto,64
19,kernel_linear_nu_0.01_gamma_auto_encoding_dim_64/,4,0.8333333333333334,linear,0.01,auto,64
20,kernel_linear_nu_0.01_gamma_auto_encoding_dim_128/,0,0.8346333853354134,linear,0.01,auto,128
21,kernel_linear_nu_0.01_gamma_auto_encoding_dim_128/,1,0.8333333333333334,linear,0.01,auto,128
22,kernel_linear_nu_0.01_gamma_auto_encoding_dim_128/,2,0.8339828526890102,linear,0.01,auto,128
23,kernel_linear_nu_0.01_gamma_auto_encoding_dim_128/,3,0.8352849336455894,linear,0.01,auto,128
24,kernel_linear_nu_0.01_gamma_auto_encoding_dim_128/,4,0.8326817826426895,linear,0.01,auto,128
25,kernel_linear_nu_0.01_gamma_auto_encoding_dim_256/,0,0.8339828526890102,linear,0.01,auto,256
26,kernel_linear_nu_0.01_gamma_auto_encoding_dim_256/,1,0.8333333333333334,linear,0.01,auto,256
27,kernel_linear_nu_0.01_gamma_auto_encoding_dim_256/,2,0.8333333333333334,linear,0.01,auto,256
28,kernel_linear_nu_0.01_gamma_auto_encoding_dim_256/,3,0.8339828526890102,linear,0.01,auto,256
29,kernel_linear_nu_0.01_gamma_auto_encoding_dim_256/,4,0.8346333853354134,linear,0.01,auto,256
30,kernel_linear_nu_0.05_gamma_scale_encoding_dim_64/,0,0.8333333333333334,linear,0.05,scale,64
31,kernel_linear_nu_0.05_gamma_scale_encoding_dim_64/,1,0.8333333333333334,linear,0.05,scale,64
32,kernel_linear_nu_0.05_gamma_scale_encoding_dim_64/,2,0.8333333333333334,linear,0.05,scale,64
33,kernel_linear_nu_0.05_gamma_scale_encoding_dim_64/,3,0.8352849336455894,linear,0.05,scale,64
34,kernel_linear_nu_0.05_gamma_scale_encoding_dim_64/,4,0.8339828526890102,linear,0.05,scale,64
35,kernel_linear_nu_0.05_gamma_scale_encoding_dim_128/,0,0.8333333333333334,linear,0.05,scale,128
36,kernel_linear_nu_0.05_gamma_scale_encoding_dim_128/,1,0.8333333333333334,linear,0.05,scale,128
37,kernel_linear_nu_0.05_gamma_scale_encoding_dim_128/,2,0.8333333333333334,linear,0.05,scale,128
38,kernel_linear_nu_0.05_gamma_scale_encoding_dim_128/,3,0.8339828526890102,linear,0.05,scale,128
39,kernel_linear_nu_0.05_gamma_scale_encoding_dim_128/,4,0.8333333333333334,linear,0.05,scale,128
40,kernel_linear_nu_0.05_gamma_scale_encoding_dim_256/,0,0.8333333333333334,linear,0.05,scale,256
41,kernel_linear_nu_0.05_gamma_scale_encoding_dim_256/,1,0.8333333333333334,linear,0.05,scale,256
42,kernel_linear_nu_0.05_gamma_scale_encoding_dim_256/,2,0.8333333333333334,linear,0.05,scale,256
43,kernel_linear_nu_0.05_gamma_scale_encoding_dim_256/,3,0.8339828526890102,linear,0.05,scale,256
44,kernel_linear_nu_0.05_gamma_scale_encoding_dim_256/,4,0.8333333333333334,linear,0.05,scale,256
45,kernel_linear_nu_0.05_gamma_auto_encoding_dim_64/,0,0.8333333333333334,linear,0.05,auto,64
46,kernel_linear_nu_0.05_gamma_auto_encoding_dim_64/,1,0.8333333333333334,linear,0.05,auto,64
