,model,split,f2_score,hidden_size,num_layers,bidirectional,dropout,lr,batch_size,num_epochs
0,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,2,True,0.0,0.0001,32,10
1,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,2,True,0.0,0.0001,32,10
2,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,2,True,0.0,0.0001,32,10
3,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,3,0.8339859044635866,32,2,True,0.0,0.0001,32,10
4,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,2,True,0.0,0.0001,32,10
5,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,2,True,0.0,0.0001,32,20
6,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,2,True,0.0,0.0001,32,20
7,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,2,True,0.0,0.0001,32,20
8,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,2,True,0.0,0.0001,32,20
9,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,4,0.8359375,32,2,True,0.0,0.0001,32,20
10,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,2,True,0.0,0.001,32,10
11,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,1,0.8346394984326019,32,2,True,0.0,0.001,32,10
12,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,2,True,0.0,0.001,32,10
13,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,3,0.8326817826426895,32,2,True,0.0,0.001,32,10
14,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,2,True,0.0,0.001,32,10
15,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,2,True,0.0,0.001,32,20
16,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,2,True,0.0,0.001,32,20
17,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,2,True,0.0,0.001,32,20
18,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,2,True,0.0,0.001,32,20
19,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,4,0.8346333853354134,32,2,True,0.0,0.001,32,20
